Name,Module,Date,Room,Faculty,Academic Year,Faculty Name
CSE-656_Class_2,Re-Intermediate Rich Bandwidth,2024-09-26 08:42:27,11,Dr. Ada Lovelace,2024,1
CSE-966_Class_2,Empower Revolutionary Markets,2024-10-24 10:07:57,87,Dr. Charles Babbage,2024,2
CSE-758_Class_2,Engage Transparent Convergence,2024-09-12 09:49:58,77,Dr. Alan Turing,2024,3
CSE-554_Class_2,Reinvent Best-Of-Breed Experiences,2024-12-09 14:53:49,69,Dr. Carl Friedrich Gauss,2024,4
CSE-457_Class_2,Facilitate Magnetic Synergies,2024-10-01 09:42:34,47,Dr. Isaac Newton,2024,5
CSE-287_Class_2,Redefine Distributed Vortals,2024-09-09 15:49:24,9,Dr. Richard Feynman,2024,6
CSE-935_Class_2,Leverage Revolutionary Web Services,2024-08-16 09:04:01,42,Dr. Marie Curie,2024,7
CSE-200_Class_2,Generate Extensible Partnerships,2024-11-14 16:55:04,1,Dr. Albert Einstein,2024,8
CSE-340_Class_2,Disintermediate Bleeding-Edge Technologies,2024-11-27 11:33:41,30,Dr. Robert Boyle,2024,9
CSE-209_Class_2,Visualize Cross-Media Info-Mediaries,2024-09-06 10:40:15,3,Dr. Dmitri Mendeleev,2024,10
CSE-656_Class_1,Re-Intermediate Rich Bandwidth,2024-12-30 13:09:12,37,Dr. Ada Lovelace,2024,1
CSE-966_Class_1,Empower Revolutionary Markets,2024-11-27 10:39:17,16,Dr. Charles Babbage,2024,2
CSE-758_Class_1,Engage Transparent Convergence,2024-10-07 08:24:23,92,Dr. Alan Turing,2024,3
CSE-554_Class_1,Reinvent Best-Of-Breed Experiences,2024-09-05 12:27:49,27,Dr. Carl Friedrich Gauss,2024,4
CSE-457_Class_1,Facilitate Magnetic Synergies,2024-12-20 12:26:17,43,Dr. Isaac Newton,2024,5
CSE-287_Class_1,Redefine Distributed Vortals,2024-10-16 13:29:57,94,Dr. Richard Feynman,2024,6
CSE-935_Class_1,Leverage Revolutionary Web Services,2024-10-31 09:52:24,87,Dr. Marie Curie,2024,7
CSE-200_Class_1,Generate Extensible Partnerships,2024-12-23 08:58:29,10,Dr. Albert Einstein,2024,8
CSE-340_Class_1,Disintermediate Bleeding-Edge Technologies,2024-10-21 09:42:20,17,Dr. Robert Boyle,2024,9
CSE-209_Class_1,Visualize Cross-Media Info-Mediaries,2024-12-03 08:51:09,17,Dr. Dmitri Mendeleev,2024,10
CSE-656_Class_3,Re-Intermediate Rich Bandwidth,2024-10-29 11:15:12,38,Dr. Ada Lovelace,2024,1
CSE-966_Class_3,Empower Revolutionary Markets,2024-10-03 10:08:02,74,Dr. Charles Babbage,2024,2
CSE-758_Class_3,Engage Transparent Convergence,2024-11-14 11:15:44,34,Dr. Alan Turing,2024,3
CSE-554_Class_3,Reinvent Best-Of-Breed Experiences,2024-11-21 10:30:18,54,Dr. Carl Friedrich Gauss,2024,4
CSE-457_Class_3,Facilitate Magnetic Synergies,2024-08-19 12:53:35,20,Dr. Isaac Newton,2024,5
CSE-287_Class_3,Redefine Distributed Vortals,2024-08-22 12:35:39,33,Dr. Richard Feynman,2024,6
CSE-935_Class_3,Leverage Revolutionary Web Services,2024-08-14 16:21:22,32,Dr. Marie Curie,2024,7
CSE-200_Class_3,Generate Extensible Partnerships,2024-09-02 10:10:17,16,Dr. Albert Einstein,2024,8
CSE-340_Class_3,Disintermediate Bleeding-Edge Technologies,2024-08-14 10:37:33,4,Dr. Robert Boyle,2024,9
CSE-209_Class_3,Visualize Cross-Media Info-Mediaries,2024-10-15 15:25:20,99,Dr. Dmitri Mendeleev,2024,10
CSE-191_Class_1,Mesh Extensible Systems,2024-08-19 08:12:43,62,Dr. Linus Pauling,2024,11
CSE-181_Class_1,Orchestrate Extensible Vortals,2024-08-13 09:29:26,62,Dr. Jane Goodall,2024,12
